run_id	phase	setting	shift_family	severity	application_mode	max_samples	shift_seed
stage1_clean_all_latency_jitter_s3_all_shifted_seed0	stage1	clean_all	latency_jitter	s3	all_shifted		0
stage1_clean_all_latency_jitter_s3_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	latency_jitter	s3	rsu_shifted_only_cav_clean		0
stage1_clean_all_latency_jitter_s3_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	latency_jitter	s3	cav_shifted_only_rsu_clean		0
stage1_clean_all_latency_jitter_stress_all_shifted_seed0	stage1	clean_all	latency_jitter	stress	all_shifted		0
stage1_clean_all_latency_jitter_stress_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	latency_jitter	stress	rsu_shifted_only_cav_clean		0
stage1_clean_all_latency_jitter_stress_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	latency_jitter	stress	cav_shifted_only_rsu_clean		0
stage1_clean_all_frame_lost_hold_s2_all_shifted_seed0	stage1	clean_all	frame_lost_hold	s2	all_shifted		0
stage1_clean_all_frame_lost_hold_s2_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	frame_lost_hold	s2	rsu_shifted_only_cav_clean		0
stage1_clean_all_frame_lost_hold_s2_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	frame_lost_hold	s2	cav_shifted_only_rsu_clean		0
stage1_clean_all_frame_lost_hold_s3_all_shifted_seed0	stage1	clean_all	frame_lost_hold	s3	all_shifted		0
stage1_clean_all_frame_lost_hold_s3_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	frame_lost_hold	s3	rsu_shifted_only_cav_clean		0
stage1_clean_all_frame_lost_hold_s3_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	frame_lost_hold	s3	cav_shifted_only_rsu_clean		0
stage1_clean_all_frame_lost_hold_stress_all_shifted_seed0	stage1	clean_all	frame_lost_hold	stress	all_shifted		0
stage1_clean_all_frame_lost_hold_stress_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	frame_lost_hold	stress	rsu_shifted_only_cav_clean		0
stage1_clean_all_frame_lost_hold_stress_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	frame_lost_hold	stress	cav_shifted_only_rsu_clean		0
stage1_clean_all_packet_drop_input_s3_all_shifted_seed0	stage1	clean_all	packet_drop_input	s3	all_shifted		0
stage1_clean_all_packet_drop_input_s3_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	packet_drop_input	s3	rsu_shifted_only_cav_clean		0
stage1_clean_all_packet_drop_input_s3_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	packet_drop_input	s3	cav_shifted_only_rsu_clean		0
stage1_clean_all_packet_drop_input_stress_all_shifted_seed0	stage1	clean_all	packet_drop_input	stress	all_shifted		0
stage1_clean_all_packet_drop_input_stress_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	packet_drop_input	stress	rsu_shifted_only_cav_clean		0
stage1_clean_all_packet_drop_input_stress_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	packet_drop_input	stress	cav_shifted_only_rsu_clean		0
stage1_clean_all_fov_left_loss_s3_all_shifted_seed0	stage1	clean_all	fov_left_loss	s3	all_shifted		0
stage1_clean_all_fov_left_loss_s3_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	fov_left_loss	s3	rsu_shifted_only_cav_clean		0
stage1_clean_all_fov_left_loss_s3_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	fov_left_loss	s3	cav_shifted_only_rsu_clean		0
stage1_clean_all_fov_right_loss_s2_all_shifted_seed0	stage1	clean_all	fov_right_loss	s2	all_shifted		0
stage1_clean_all_fov_right_loss_s2_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	fov_right_loss	s2	rsu_shifted_only_cav_clean		0
stage1_clean_all_fov_right_loss_s2_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	fov_right_loss	s2	cav_shifted_only_rsu_clean		0
stage1_clean_all_fov_right_loss_s3_all_shifted_seed0	stage1	clean_all	fov_right_loss	s3	all_shifted		0
stage1_clean_all_fov_right_loss_s3_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	fov_right_loss	s3	rsu_shifted_only_cav_clean		0
stage1_clean_all_fov_right_loss_s3_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	fov_right_loss	s3	cav_shifted_only_rsu_clean		0
stage1_clean_all_missing_camera_s2_all_shifted_seed0	stage1	clean_all	missing_camera	s2	all_shifted		0
stage1_clean_all_missing_camera_s2_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	missing_camera	s2	rsu_shifted_only_cav_clean		0
stage1_clean_all_missing_camera_s2_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	missing_camera	s2	cav_shifted_only_rsu_clean		0
stage1_clean_all_missing_camera_s3_all_shifted_seed0	stage1	clean_all	missing_camera	s3	all_shifted		0
stage1_clean_all_missing_camera_s3_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	missing_camera	s3	rsu_shifted_only_cav_clean		0
stage1_clean_all_missing_camera_s3_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	missing_camera	s3	cav_shifted_only_rsu_clean		0
stage1_clean_all_camera_crash_s2_all_shifted_seed0	stage1	clean_all	camera_crash	s2	all_shifted		0
stage1_clean_all_camera_crash_s2_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	camera_crash	s2	rsu_shifted_only_cav_clean		0
stage1_clean_all_camera_crash_s2_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	camera_crash	s2	cav_shifted_only_rsu_clean		0
stage1_clean_all_camera_crash_s3_all_shifted_seed0	stage1	clean_all	camera_crash	s3	all_shifted		0
stage1_clean_all_camera_crash_s3_rsu_shifted_only_cav_clean_seed0	stage1	clean_all	camera_crash	s3	rsu_shifted_only_cav_clean		0
stage1_clean_all_camera_crash_s3_cav_shifted_only_rsu_clean_seed0	stage1	clean_all	camera_crash	s3	cav_shifted_only_rsu_clean		0
