run_id	phase	setting	shift_family	severity	application_mode	max_samples	shift_seed
stage3_clean_all_request_region_cap_s1_shifted_source_full_clean_source_limited_seed0	stage3	clean_all	request_region_cap	s1	shifted_source_full_clean_source_limited		0
stage3_clean_all_request_region_cap_s1_clean_source_full_shifted_source_limited_seed0	stage3	clean_all	request_region_cap	s1	clean_source_full_shifted_source_limited		0
stage3_clean_all_request_region_cap_s2_all_sources_limited_seed0	stage3	clean_all	request_region_cap	s2	all_sources_limited		0
stage3_clean_all_request_region_cap_s2_rsu_limited_cav_full_seed0	stage3	clean_all	request_region_cap	s2	rsu_limited_cav_full		0
stage3_clean_all_request_region_cap_s2_cav_limited_rsu_full_seed0	stage3	clean_all	request_region_cap	s2	cav_limited_rsu_full		0
stage3_clean_all_request_region_cap_s2_shifted_source_full_clean_source_limited_seed0	stage3	clean_all	request_region_cap	s2	shifted_source_full_clean_source_limited		0
stage3_clean_all_request_region_cap_s2_clean_source_full_shifted_source_limited_seed0	stage3	clean_all	request_region_cap	s2	clean_source_full_shifted_source_limited		0
stage3_clean_all_request_region_cap_s3_all_sources_limited_seed0	stage3	clean_all	request_region_cap	s3	all_sources_limited		0
stage3_clean_all_request_region_cap_s3_rsu_limited_cav_full_seed0	stage3	clean_all	request_region_cap	s3	rsu_limited_cav_full		0
stage3_clean_all_request_region_cap_s3_cav_limited_rsu_full_seed0	stage3	clean_all	request_region_cap	s3	cav_limited_rsu_full		0
stage3_clean_all_request_region_cap_s3_shifted_source_full_clean_source_limited_seed0	stage3	clean_all	request_region_cap	s3	shifted_source_full_clean_source_limited		0
stage3_clean_all_request_region_cap_s3_clean_source_full_shifted_source_limited_seed0	stage3	clean_all	request_region_cap	s3	clean_source_full_shifted_source_limited		0
stage3_clean_all_request_region_cap_stress_all_sources_limited_seed0	stage3	clean_all	request_region_cap	stress	all_sources_limited		0
stage3_clean_all_request_region_cap_stress_rsu_limited_cav_full_seed0	stage3	clean_all	request_region_cap	stress	rsu_limited_cav_full		0
stage3_clean_all_request_region_cap_stress_cav_limited_rsu_full_seed0	stage3	clean_all	request_region_cap	stress	cav_limited_rsu_full		0
stage3_clean_all_request_region_cap_stress_shifted_source_full_clean_source_limited_seed0	stage3	clean_all	request_region_cap	stress	shifted_source_full_clean_source_limited		0
stage3_clean_all_request_region_cap_stress_clean_source_full_shifted_source_limited_seed0	stage3	clean_all	request_region_cap	stress	clean_source_full_shifted_source_limited		0
